tasks,type,matrix,time
1,hybrid,matrices/A_n3e6_d4.mtx,17.7641
2,hybrid,matrices/A_n5e6_d4.mtx,9.64393
1,hybrid,matrices/A_n5e6_d4.mtx,20.6718
6,hybrid,matrices/A_n3e6_d4.mtx,1.37753
6,hybrid,matrices/A_n5e6_d4.mtx,2.37704
4,hybrid,matrices/A_n1e6_d4.mtx,0.779815
4,hybrid,matrices/A_n2e6_d4.mtx,1.45127
4,hybrid,matrices/A_n3e6_d4.mtx,2.30416
4,hybrid,matrices/A_n5e6_d4.mtx,3.8598
2,hybrid,matrices/A_n3e6_d4.mtx,3.36789
1,hybrid,matrices/A_n2e6_d4.mtx,6.69722
1,hybrid,matrices/A_n5e6_d4.mtx,17.8553
6,hybrid,matrices/A_n1e6_d4.mtx,0.508987
2,hybrid,matrices/A_n1e6_d4.mtx,1.84233
1,hybrid,matrices/A_n1e6_d4.mtx,4.03379
2,hybrid,matrices/A_n2e6_d4.mtx,3.67328
1,hybrid,matrices/A_n2e6_d4.mtx,11.2025
2,hybrid,matrices/A_n3e6_d4.mtx,5.58651
6,hybrid,matrices/A_n2e6_d4.mtx,1.00106
1,hybrid,matrices/A_n3e6_d4.mtx,17.6718
2,hybrid,matrices/A_n5e6_d4.mtx,9.6183
1,hybrid,matrices/A_n5e6_d4.mtx,20.8591
6,hybrid,matrices/A_n3e6_d4.mtx,1.38145
6,hybrid,matrices/A_n5e6_d4.mtx,2.35002
4,hybrid,matrices/A_n1e6_d4.mtx,0.851584
4,hybrid,matrices/A_n2e6_d4.mtx,1.8062
4,hybrid,matrices/A_n3e6_d4.mtx,2.95508
4,hybrid,matrices/A_n5e6_d4.mtx,4.82696
6,hybrid,matrices/A_n1e6_d4.mtx,0.528948
1,hybrid,matrices/A_n1e6_d4.mtx,3.99748
6,hybrid,matrices/A_n2e6_d4.mtx,1.10711
1,hybrid,matrices/A_n2e6_d4.mtx,8.11207
6,hybrid,matrices/A_n3e6_d4.mtx,1.52506
1,hybrid,matrices/A_n3e6_d4.mtx,12.1786
6,hybrid,matrices/A_n5e6_d4.mtx,2.50375
6,hybrid,matrices/A_n1e6_d4.mtx,0.544677
6,hybrid,matrices/A_n2e6_d4.mtx,1.06541
1,hybrid,matrices/A_n5e6_d4.mtx,20.9809
6,hybrid,matrices/A_n3e6_d4.mtx,1.45856
1,hybrid,matrices/A_n1e6_d4.mtx,4.0318
6,hybrid,matrices/A_n5e6_d4.mtx,2.46508
1,hybrid,matrices/A_n2e6_d4.mtx,8.31764
